Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
9.000000015261583e+17,9.000000015261583e+17,9.000000002226445e+17,Liquor,Cordials,,Dr. McGillicuddy's Cherry SGL,,3.29,1.0,1.0,3.29,1.0,1.0,3.29,0.0,0.0,0.0,3.29,1,1.0,1.0,0.3333333333333333,0.0112359550561797,1.0,0.2914083259521701,0.0091689426453374
,,,Beer,,,,,2.769375,32.0,0.3555555555555555,88.62,0.2345561378434175,32.0,88.62,0.0,0.0,0.0,88.62,23,0.71875,0.0,0.0,0.3595505617977528,0.0,0.0,0.2469761997658993
9.000000002370804e+17,9.000000002370804e+17,,Beer,Draft,,,,3.41,4.0,0.125,13.63,0.1538027533288196,4.0,13.63,0.0,0.0,0.0,13.63,4,0.1739130434782608,0.0,0.125,0.0449438202247191,0.0,0.1538027533288196,0.0379856195306839
9.000000002371086e+17,9.000000002371086e+17,9.000000002370804e+17,Beer,Draft,,"Busch Light, Draft",,3.29,3.0,0.75,9.87,0.7241379310344827,3.0,9.87,0.0,0.0,0.0,9.87,3,0.75,0.75,0.09375,0.0337078651685393,0.7241379310344827,0.1113744075829383,0.0275068279360124
9.000000026829787e+17,9.000000026829787e+17,9.000000002370804e+17,Beer,Draft,,Blue Moon,,3.76,1.0,0.25,3.76,0.2758620689655172,1.0,3.76,0.0,0.0,0.0,3.76,1,0.25,0.25,0.03125,0.0112359550561797,0.2758620689655172,0.0424283457458812,0.0104787915946714
9.000000002371167e+17,9.000000002371167e+17,,Beer,Bottle,,,,3.4,11.0,0.34375,37.37,0.4216881065222297,11.0,37.37,0.0,0.0,0.0,37.37,8,0.3478260869565217,0.0,0.34375,0.1235955056179775,0.0,0.4216881065222297,0.104146926035338
9.000000002371556e+17,9.000000002371556e+17,9.000000002371167e+17,Beer,Bottle,,"Busch Light, Bottle","Busch Light, Bottle",3.29,4.0,0.3636363636363636,13.16,0.3521541343323522,4.0,13.16,0.0,0.0,0.0,13.16,2,0.25,0.3636363636363636,0.125,0.0449438202247191,0.3521541343323522,0.1484992101105845,0.0366757705813499
9.000000002371556e+17,9.000000002371556e+17,9.000000002371167e+17,Beer,Bottle,,"Michelob Ultra, Bottle","Michelob Ultra, Bottle",3.53,1.0,0.0909090909090909,3.53,0.0944607974310944,1.0,3.53,0.0,0.0,0.0,3.53,1,0.125,0.0909090909090909,0.03125,0.0112359550561797,0.0944607974310944,0.0398329948092981,0.0098378016832952
9.000000002745929e+17,9.000000002745929e+17,9.000000002371167e+17,Beer,Bottle,,"Miller Lite, Bottle","Miller Lite, Bottle",3.29,4.0,0.3636363636363636,13.16,0.3521541343323522,4.0,13.16,0.0,0.0,0.0,13.16,3,0.375,0.3636363636363636,0.125,0.0449438202247191,0.3521541343323522,0.1484992101105845,0.0366757705813499
9.000000002745929e+17,9.000000002745929e+17,9.000000002371167e+17,Beer,Bottle,,"Shiner Bock, Bottle","Shiner Bock, Bottle",3.76,2.0,0.1818181818181818,7.52,0.2012309339042012,2.0,7.52,0.0,0.0,0.0,7.52,2,0.25,0.1818181818181818,0.0625,0.0224719101123595,0.2012309339042012,0.0848566914917625,0.0209575831893428
9.000000002371167e+17,9.000000002371167e+17,,Beer,Can,,,,2.21,17.0,0.53125,37.62,0.4245091401489505,17.0,37.62,0.0,0.0,0.0,37.62,17,0.7391304347826086,0.0,0.53125,0.1910112359550561,0.0,0.4245091401489505,0.1048436541998773
9.000000002371711e+17,9.000000002371711e+17,9.000000002371167e+17,Beer,Can,,"Busch Light, Can",,2.59,4.0,0.2352941176470588,10.36,0.2753854332801701,4.0,10.36,0.0,0.0,0.0,10.36,4,0.2352941176470588,0.2352941176470588,0.125,0.0449438202247191,0.2753854332801701,0.1169036334913112,0.0288724151385095
9.000000002746342e+17,9.000000002746342e+17,9.000000002371167e+17,Beer,Can,,"Keystone Light, Can",,1.88,3.0,0.1764705882352941,5.64,0.1499202551834131,3.0,5.64,0.0,0.0,0.0,5.64,3,0.1764705882352941,0.1764705882352941,0.09375,0.0337078651685393,0.1499202551834131,0.0636425186188219,0.0157181873920071
9.000000002746342e+17,9.000000002746342e+17,9.000000002371167e+17,Beer,Can,,"Michelob Ultra, Can",,3.29,2.0,0.1176470588235294,6.58,0.1749069643806486,2.0,6.58,0.0,0.0,0.0,6.58,2,0.1176470588235294,0.1176470588235294,0.0625,0.0224719101123595,0.1749069643806486,0.0742496050552922,0.0183378852906749
9.000000002746359e+17,9.000000002746359e+17,9.000000002371167e+17,Beer,Can,,"Old Milwaukee Light, Can",,1.88,8.0,0.4705882352941176,15.04,0.3997873471557682,8.0,15.04,0.0,0.0,0.0,15.04,8,0.4705882352941176,0.4705882352941176,0.25,0.0898876404494382,0.3997873471557682,0.1697133829835251,0.0419151663786856
,,,Food Specials,,,,,5.75,16.0,0.1777777777777777,92.0,0.2435021968132973,16.0,92.0,0.0,0.0,0.0,92.0,8,0.25,0.0,0.0,0.1797752808988764,0.0,0.0,0.256395964550471
9.000000009323044e+17,9.000000009323044e+17,,Food Specials,Food Specials,,,,5.75,16.0,1.0,92.0,1.0,16.0,92.0,0.0,0.0,0.0,92.0,8,1.0,0.0,1.0,0.1797752808988764,0.0,1.0,0.256395964550471
9.000000011336209e+17,9.000000011336209e+17,9.000000009323044e+17,Food Specials,Food Specials,,Fried Beef Tacos,,6.0,14.0,0.875,84.0,0.9130434782608696,14.0,84.0,0.0,0.0,0.0,84.0,8,1.0,0.875,0.875,0.1573033707865168,0.9130434782608696,0.9130434782608696,0.2341006632852126
9.000000011339785e+17,9.000000011339785e+17,9.000000009323044e+17,Food Specials,Food Specials,,Chips & Salsa,,4.0,2.0,0.125,8.0,0.0869565217391304,2.0,8.0,0.0,0.0,0.0,8.0,2,0.25,0.125,0.125,0.0224719101123595,0.0869565217391304,0.0869565217391304,0.0222953012652583
,,,Wine,,,,,4.0,3.0,0.0333333333333333,12.0,0.0317611561060822,3.0,12.0,0.0,0.0,0.0,12.0,1,0.03125,0.0,0.0,0.0337078651685393,0.0,0.0,0.0334429518978875
9.000000015784232e+17,9.000000015784232e+17,,Wine,Wine,,,,4.0,3.0,1.0,12.0,1.0,3.0,12.0,0.0,0.0,0.0,12.0,1,1.0,0.0,1.0,0.0337078651685393,0.0,1.0,0.0334429518978875
9.000000000890925e+17,9.000000000890925e+17,9.000000015784232e+17,Wine,Wine,,Barefoot Singles,,4.0,3.0,1.0,12.0,1.0,3.0,12.0,0.0,0.0,0.0,12.0,1,1.0,1.0,1.0,0.0337078651685393,1.0,1.0,0.0334429518978875
,,,Special Events,,,,,4.71,1.0,0.0111111111111111,4.71,0.0124662537716372,1.0,4.71,0.0,0.0,0.0,4.71,1,0.03125,0.0,0.0,0.0112359550561797,0.0,0.0,0.0131263586199208
9.000000034934683e+17,9.000000034934683e+17,,Special Events,Special Events (Drinks),,,,4.71,1.0,1.0,4.71,1.0,1.0,4.71,0.0,0.0,0.0,4.71,1,1.0,0.0,1.0,0.0112359550561797,0.0,1.0,0.0131263586199208
9.000000034934794e+17,9.000000034934794e+17,9.000000034934683e+17,Special Events,Special Events (Drinks),,Guiness Nitro Draft,,4.71,1.0,1.0,4.71,1.0,1.0,4.71,0.0,0.0,0.0,4.71,1,1.0,1.0,1.0,0.0112359550561797,1.0,1.0,0.0131263586199208
